Year,State,<1,1-4,5-9,10-14,15-19,20-24,25-44,45-49,50-59,60-64,65+,Total
2003,Aguascalientes,0.0,0.0,0.0,0.0,1.89,8.16,13.66,41.11,73.6,92.2,51.84,23.81
2003,Baja California,0.0,0.0,0.0,0.0,5.31,6.1,20.23,49.22,93.97,98.73,73.05,30.2
2003,Baja California Sur,0.0,0.0,0.0,0.0,0.0,4.55,9.01,34.17,13.54,21.11,81.64,14.11
2003,Campeche,0.0,0.0,2.42,0.0,0.0,2.76,2.74,11.52,8.63,12.86,5.95,4.41
2003,Coahuila,0.0,0.0,0.0,0.8,1.73,4.42,6.72,14.51,22.06,13.14,16.86,8.96
2003,Colima,0.0,0.0,0.0,0.0,0.0,7.17,9.04,46.82,29.92,14.75,32.1,14.26
2003,Chiapas,0.0,0.0,0.0,0.0,0.0,1.85,10.1,19.46,23.1,30.57,18.86,9.83
2003,Chihuahua,0.0,0.0,0.0,0.59,0.64,3.39,11.37,34.48,54.84,57.0,45.27,19.05
2003,Distrito Federal,0.0,0.0,0.0,0.0,0.0,0.99,10.35,38.14,29.82,53.12,32.41,16.51
2003,Durango,0.0,0.0,0.0,0.0,0.0,1.34,12.73,25.13,17.62,20.7,31.82,12.53
2003,Guanajuato,0.0,0.0,0.0,0.0,0.0,1.59,2.97,9.72,16.58,19.64,8.85,4.99
2003,Guerrero,0.0,0.0,0.0,0.0,1.13,0.66,0.72,4.2,2.91,5.09,2.16,1.52
2003,Hidalgo,0.0,0.0,0.0,0.0,0.0,0.0,2.63,1.7,7.3,6.82,0.0,2.2
2003,Jalisco,0.0,0.0,0.0,0.56,0.87,1.55,11.71,44.11,49.92,50.78,37.39,19.02
2003,México,0.0,0.0,0.0,0.14,0.98,1.59,4.64,17.45,19.24,15.25,16.91,7.11
2003,Michoacán,0.0,0.0,0.0,0.0,0.0,0.47,7.73,22.79,23.64,32.51,22.68,10.28
2003,Morelos,0.0,0.0,0.0,0.0,0.0,2.53,3.17,20.5,31.68,28.15,15.78,8.79
2003,Nayarit,0.0,0.0,0.0,0.0,1.96,0.0,15.96,46.16,43.5,55.04,49.4,21.32
2003,Nuevo León,0.0,0.0,0.0,1.06,0.54,4.73,14.81,43.78,50.1,49.32,52.98,21.87
2003,Oaxaca,0.0,0.0,0.0,0.0,0.0,1.66,5.23,17.74,12.63,16.38,10.14,6.35
2003,Puebla,0.0,0.0,0.0,0.0,1.03,0.38,6.64,38.6,21.08,25.92,30.0,11.15
2003,Querétaro,0.0,0.0,0.0,0.0,0.0,1.28,4.68,19.78,13.08,32.52,19.91,7.02
2003,Quintana Roo,0.0,0.0,0.0,0.0,0.0,0.0,3.63,14.52,24.84,0.0,16.51,5.16
